Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
16919,BOOMS CHRISTIAN COLLEGE,Midlands,Secondary,Gweru,S2,,
16920,HERENTALS COLLEGE MKOBA,Midlands,Secondary,Gweru,S3,,
16921,BUDIRIRO A COLLEGE,Midlands,Secondary,Gweru,S3,,
16923,ST KIZITO GUMUNYU,Midlands,Primary,Gokwe North,P3,-17.4426,28.90678
16924,RUCHANYU,Midlands,Primary,Shurugwi,P3,-19.84082,29.96312
16925,ZHAUGWE,Midlands,Primary,Shurugwi,P3,-19.91139,29.88516
16926,FAFI,Midlands,Secondary,Kwekwe,S3,-18.6294,29.30942
16927,ZHAUGWE,Midlands,Secondary,Shurugwi,S3,-19.91156,29.88508
16928,NYAMHONDO,Midlands,Secondary,Mberengwa,S3,,
16929,CONNEMARA,Midlands,Secondary,Gweru,S3,,
16930,MAPFUNGAUTSI PRIMARY,Midlands,Primary,Gokwe South,P2,,
16931,SIDINGULWAZI,Midlands,Primary,Kwekwe,P3,,
16932,MUTIMURI,Midlands,Primary,Gokwe North,P3,,
16933,SIBUJULU,Midlands,Primary,Gokwe North,P3,,
16934,GURA PRIMARY,Midlands,Primary,Gokwe North,P3,,
16935,HUCHU PRIMARY,Midlands,Primary,Chirumanzu,P3,,
16936,TOP CLASS COLLEGE,Midlands,Secondary,Gweru,S2,,
16937,BEST COLLEGE,Midlands,Secondary,Gweru,S1,,
16938,SIMON MUZENDA,Midlands,Primary,Chirumanzu,P3,,
16942,ZHAMBA SECONDARY,Midlands,Secondary,Gokwe South,S3,,
16943,TWO DAY CARE ECD CENTRE,Midlands,Primary,Kwekwe,P3,,
16944,TAFARA ECD CENTRE,Midlands,Primary,Kwekwe,P3,,
16945,SHINGIRIRAI ECD CENTRE,Midlands,Primary,Kwekwe,P2,,
16946,DAIZY AND DONALD ECD,Midlands,Primary,Kwekwe,P1,,
16947,BEACON KOP PRIMARY,Midlands,Primary,Shurugwi,P3,,
16949,HAPPY HAVEN NURSERY SCHOOL,Midlands,Primary,Shurugwi,P1,,
16950,EASTVILLE ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16951,KWAYEDZA CENTRE ECD,Midlands,Primary,Zvishavane,P3,,
16952,HOPE FOUNTAIN CENTRE ECD,Midlands,Primary,Zvishavane,P3,,
16954,ERRYMAPLE JUNIOR ECD,Midlands,Primary,Zvishavane,P1,,
16955,BRIGHT BEGINNINGS ECD,Midlands,Primary,Zvishavane,P2,,
16956,FUTURE GENERATION ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16957,BOLD BEGINNINGS MONT-ESSORI ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16959,SHABANIE MINE WOMEN'S CLUB ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16961,SUNSHINE ECD CENTRE,Midlands,Primary,Zvishavane,P1,,
16963,TWINKLE STAR ECD CENTRE,Midlands,Primary,Zvishavane,P3,,
16964,BUDDING KIDS KINDERGARTEN ECD,Midlands,Primary,Zvishavane,P1,,
16965,NOKUTENDA PRE SCHOOL,Midlands,Primary,Zvishavane,P1,,
16966,RUZVIDZO ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16967,MIDLANDS UNIVERSAL COLLEGE,Midlands,Secondary,Zvishavane,S3,,
16968,MANDAVA SDA ECD CENTRE,Midlands,Primary,Zvishavane,P2,,
16969,RAINBOW ECD CENTRE,Midlands,Primary,Zvishavane,P1,,
16970,W BOOMS COLLEGE,Midlands,Secondary,Kwekwe,S2,,
16972,KENVILLE HIGH SCHOOL,Midlands,Secondary,Kwekwe,S2,,
16973,SHINGIRIRAI ECD,Midlands,Primary,Kwekwe,P2,,
16974,TINKERBELL EARLY LEARNING CENTRE,Midlands,Primary,Kwekwe,P2,,
16975,MERRY MELODIES ECD,Midlands,Primary,Kwekwe,P2,,
16976,RUJEKO KIDS UNIVESITY ECD CENTRE,Midlands,Primary,Kwekwe,P2,,
16977,REDCLIFF CHRISTIAN ECD CENTRE,Midlands,Primary,Kwekwe,P1,,
16978,CHISADZA SECONDARY,Midlands,Secondary,Gweru,S3,,
16979,CHIKUTUBWE SECONDARY,Midlands,Secondary,Gweru,S3,,
16980,MACHINGWE SECONDARY ,Midlands,Secondary,Mberengwa,S3,,
16981,AIRFORCE THORNHILL SECONDARY,Midlands,Secondary,Gweru,S1,,
16983,DOMINICAN NURSERY SCHOOL,Midlands,Primary,Gweru,P3,,
17000,KANDODO,Midlands,Primary,Zvishavane,P2,-20.32746,30.05645
17001,KOROGWE,Midlands,Secondary,Zvishavane,S3,-20.00156,30.05293
17002,LUNDI,Midlands,Primary,Zvishavane,P3,-20.02033,29.9756
17003,MAKOVERE,Midlands,Primary,Zvishavane,P3,-20.23108,30.09087
17004,MANDAVA,Midlands,Secondary,Zvishavane,S1,-20.29643,30.06425
17005,MANYARIRA,Midlands,Primary,Zvishavane,P3,-20.45093,30.25604
17006,MAPAZULI,Midlands,Primary,Zvishavane,P3,-20.11218,29.93137
17007,MAPEDZA,Midlands,Primary,Zvishavane,P3,-20.52628,30.29485
17008,MAROVANIDZE,Midlands,Primary,Zvishavane,P3,-20.18801,30.10842
17009,MASEHUNI,Midlands,Secondary,Zvishavane,S3,-20.42933,30.25999
17010,MATENDA,Midlands,Primary,Zvishavane,P3,-19.99603,30.03497
17011,MOTOTI,Midlands,Primary,Zvishavane,P3,-20.37601,30.28366
17012,MSIPANI,Midlands,Primary,Zvishavane,P3,-20.19684,29.91882
17013,MUKWAKWE,Midlands,Primary,Zvishavane,P3,-20.57123,30.40561
17014,MUROWA,Midlands,Primary,Zvishavane,P3,-20.56171,30.41693
17015,MWEZHE,Midlands,Primary,Zvishavane,P3,-19.9667,30.00934
17016,NDINANENI,Midlands,Primary,Zvishavane,P3,-20.30155,29.91988
17017,NGOMEYEBANI,Midlands,Secondary,Zvishavane,S3,-20.24711,29.98945
17018,RAMOFU,Midlands,Primary,Zvishavane,P3,-20.12253,30.02423
17019,RUSVINGE,Midlands,Primary,Zvishavane,P3,-20.20259,29.88082
17020,SASULA,Midlands,Primary,Zvishavane,P3,-20.18571,30.04551
17021,SHABANIE MINE,Midlands,Primary,Zvishavane,P2,-20.32427,30.07818
17022,SHIKU,Midlands,Primary,Zvishavane,P3,-20.04564,30.06577
17023,SIBOZA,Midlands,Primary,Zvishavane,P3,-20.26056,30.00816
17024,SINAMI,Midlands,Primary,Zvishavane,P3,-20.07624,29.93036
17025,SIVANGA,Midlands,Primary,Zvishavane,P3,-20.15762,29.90261
17026,TOM CHIBI,Midlands,Primary,Zvishavane,P3,-19.99083,30.11333
17027,VENGE,Midlands,Primary,Zvishavane,P3,-20.08861,30.08643
17028,VUKWE,Midlands,Primary,Zvishavane,P3,-20.50852,30.16786
17029,WASIMA,Midlands,Secondary,Zvishavane,S3,-20.1261,30.13416
17030,WEDZA,Midlands,Primary,Zvishavane,P3,-20.252,29.8689
17031,WELEZA,Midlands,Primary,Zvishavane,P3,-20.2105,30.09942
17032,ZERUVI,Midlands,Primary,Zvishavane,P3,-20.5095,30.25412
17033,ZVEGONA,Midlands,Primary,Zvishavane,P3,-20.298,29.9684
17034,ZVOI,Midlands,Primary,Zvishavane,P3,-20.24308,30.1142
17035,MADZIVAZVIDO,Midlands,Secondary,Gokwe North,S3,-17.63108,28.50778
17036,MAMHANGWA,Midlands,Primary,Gokwe South,P3,-17.6925,28.55358
17037,TASUNGANA,Midlands,Primary,Kwekwe,P2,-18.89562,29.8385
17038,ZVANAKA,Midlands,Primary,Gokwe North,P3,-17.31544,29.20243
17039,BURURE,Midlands,Primary,Gokwe North,P3,-17.4065,28.13216
17040,MZILA ,Midlands,Primary,Gweru,P3,-19.32024,29.38156
17041,INSUKAMINI,Midlands,Primary,Gweru,P3,-19.36717,29.59793
17043,SAVANNAH,Midlands,Primary,Chirumanzu,P3,-19.31223,30.3929
17044,RAMBAKOMBWA,Midlands,Secondary,Chirumanzu,S3,-19.43878,29.82488
17046,KABUYUNI ,Midlands,Primary,Gokwe North,P3,-17.59271,28.36599
17047,JEFFREY HOOPER,Midlands,Primary,Zvishavane,P1,-20.30603,30.07164
17048,MAKWASHA,Midlands,Primary,Zvishavane,P2,-20.29668,30.04901
17049,HILLVIEW,Midlands,Secondary,Chirumanzu,S3,-19.19869,30.07206
17050,NEW ENGLAND,Midlands,Secondary,Chirumanzu,S3,-19.22889,30.69196
17051,ORTON'S DRIFT,Midlands,Secondary,Chirumanzu,S3,-19.14537,30.65371
17052,MAZINYO,Midlands,Secondary,Gokwe South,S3,-18.30863,28.15315
17053,NETA,Midlands,Secondary,Mberengwa,S3,-20.42935,29.81945
17054,DOVE,Midlands,Secondary,Mberengwa,S3,-20.48492,29.9047
17055,ZVAVASHE,Midlands,Secondary,Mberengwa,S3,-20.6302,29.84595
17056,CHEBVUTE,Midlands,Secondary,Mberengwa,S3,-20.79386,29.77518
17057,MUKWIDZI,Midlands,Secondary,Zvishavane,S3,-20.27519,29.79987
17058,MPUMELELO,Midlands,Secondary,Zvishavane,S3,-20.31089,29.92562
17059,BONSTEAD,Midlands,Secondary,Kwekwe,S3,-18.74152,29.69523
17060,KADANYA,Midlands,Secondary,Kwekwe,S3,-18.69945,29.01081
17061,KASAWE,Midlands,Secondary,Kwekwe,S3,-18.41893,29.51295
17062,MGANDANI RIO,Midlands,Secondary,Kwekwe,S3,,
17063,MSILAHOBE,Midlands,Secondary,Kwekwe,S3,-19.18031,29.14526
17064,MUPAMOMBE,Midlands,Secondary,Kwekwe,S3,-18.93608,30.02905
17065,NHAKAYEDU,Midlands,Secondary,Kwekwe,S3,-18.74701,29.90186
17066,NJEREMOTO,Midlands,Secondary,Kwekwe,S3,-18.76023,29.60036
17067,SENGEZI,Midlands,Secondary,Kwekwe,S3,-18.55812,29.40154
17068,SIMANA,Midlands,Secondary,Kwekwe,S3,-18.91425,29.12459
17069,TAVANEVHU,Midlands,Secondary,Kwekwe,S3,-18.77805,29.99525
17070,TIGER REEF,Midlands,Secondary,Kwekwe,S3,-18.88086,29.71091
17071,WOZOLI,Midlands,Secondary,Kwekwe,S3,-19.08324,29.34222
17072,ZVIBOMVU,Midlands,Secondary,Kwekwe,S3,-18.97899,29.25065
17073,BUNINA,Midlands,Secondary,Gweru,S3,-19.60673,29.54303
17074,CHISHAYA,Midlands,Secondary,Gweru,S3,-19.21412,30.05588
17075,FAIRVIEW,Midlands,Secondary,Gweru,S3,-19.63978,29.762
17077,KUSHINGA,Midlands,Secondary,Gweru,S3,-19.4421,29.97782
17078,LUKULUBA,Midlands,Secondary,Gweru,S3,-19.8224,29.61964
17079,NTIYABEZI,Midlands,Secondary,Gweru,S3,-19.61005,29.44499
17080,SIKOMBINGO,Midlands,Secondary,Gweru,S3,-19.34124,29.4434
17081,TANGWENA,Midlands,Secondary,Gweru,S3,-19.36266,30.04326
17082,SASIKARITANDA ,Midlands,Secondary,Gokwe North,S3,-17.33601,28.9669
17083,SAWIRANGWANDA,Midlands,Secondary,Gokwe North,S3,-17.32366,28.65803
17084,SIMCHEMBU 2,Midlands,Secondary,Gokwe North,S3,-17.39288,28.16879
17085,TAFARA (MATUMBE),Midlands,Secondary,Gokwe North,S3,,
17086,VUMBA,Midlands,Secondary,Gokwe North,S3,,
17087,ZUMBA,Midlands,Secondary,Gokwe North,S3,-17.40116,28.73148
17088,DEKETE,Midlands,Secondary,Gokwe North,S3,-17.247,28.69769
17089,GANDAVAHECHE,Midlands,Secondary,Gokwe North,S3,,
17090,HONGORO,Midlands,Secondary,Gokwe North,S3,,
17091,KAHOBO,Midlands,Secondary,Gokwe North,S3,,
17092,KAMWA,Midlands,Secondary,Gokwe North,S3,,
17093,KATAMBA,Midlands,Secondary,Gokwe North,S3,-17.48077,28.6344
17094,MASEMO,Midlands,Secondary,Gokwe North,S3,-17.65927,28.7456
17095,MASHAME,Midlands,Secondary,Gokwe North,S3,-17.27534,28.79688
17096,MASHUMA,Midlands,Secondary,Gokwe North,S3,,
17097,MHUMHA,Midlands,Secondary,Gokwe North,S3,-17.71625,28.92703
17098,MUDONDO,Midlands,Secondary,Gokwe North,S3,-17.53253,28.57193
17099,MUNYATIPANZI,Midlands,Secondary,Gokwe North,S3,-17.43855,28.9529
17100,MUSIKAVANHU,Midlands,Secondary,Gokwe North,S3,-17.63118,28.42273
17101,NEVANA,Midlands,Secondary,Gokwe North,S3,-17.89365,28.78966
17102,NENYUNKA   ,Midlands,Secondary,Gokwe North,S3,-17.44246,28.2964
17103,BURURE E L C Z,Midlands,Secondary,Gokwe North,S3,-17.59521,28.44118
17104,DAMBAMAZURA (MBOVHANA),Midlands,Secondary,Gokwe North,S3,-17.42713,28.83681
17105,TOKWE 4 ,Midlands,Secondary,Chirumanzu,S3,-19.47584,30.21176
17106,MUSENA,Midlands,Secondary,Chirumanzu,S3,-19.00143,30.40643
17107,INSUKAMINI,Midlands,Secondary,Gweru,S3,-19.37422,29.59627
17108,KAITA,Midlands,Primary,Gokwe North,P3,,
17109,NGAZANA,Midlands,Primary,Gokwe North,P3,,
17110,SABALA,Midlands,Primary,Gokwe North,P3,,
17111,MUYAMBUKAKAMWE,Midlands,Primary,Gokwe North,P3,,
17112,CHIROMO,Midlands,Primary,Gokwe North,P3,,
17113,BUNO,Midlands,Primary,Gokwe North,P3,,
17114,BUDIRIRO,Midlands,Primary,Gokwe North,P2,,
17115,NGONDOMA,Midlands,Primary,Gokwe South,P3,,
17116,DOMBOJENA,Midlands,Primary,Shurugwi,P3,,
17117,MABASA,Midlands,Primary,Zvishavane,P3,,
17118,HERBERT MAHLABA,Midlands,Primary,Chirumanzu,P3,-19.00473,30.552
17119,SIKWITI,Midlands,Secondary,Gokwe North,S3,,
17120,NGUNGUMBANE,Midlands,Secondary,Mberengwa,S3,,
17121,MUCHIRINJI,Midlands,Secondary,Gokwe South,S3,,
17123,MARIRAZHOMBE (HODZI),Midlands,Secondary,Mberengwa,S3,,
17124,SIBANGANI,Midlands,Secondary,Kwekwe,S3,-18.95377,29.08324
17125,NYAMACHENI,Midlands,Secondary,Gokwe South,S3,-18.11243,29.17071
17126,RHINOZIBANGWE,Midlands,Secondary,Kwekwe,S3,,
17127,THE LOGS EMPOWERMENT GIRL,Midlands,Secondary,Gokwe South,S2,,
17128,MASUKA ( MUROORWA),Midlands,Primary,Gokwe South,P3,,
17129,NYAGOMBE,Midlands,Primary,Gokwe South,P3,,
17130,KAPFUNDE,Midlands,Primary,Gokwe South,P3,,
17131,BENGWE,Midlands,Secondary,Gokwe South,S3,,
17132,MABOKE,Midlands,Secondary,Gokwe South,S3,,
